,Unnamed: 0,Half,Time,Idactor2,EventName,BodyPart,TargetX,TargetY,Start Frame,IDactor1,Team,Start X,Start Y
0,0,1,0,0.0,HalfTime Start,0,0.0,0.0,0.0,0,Away,,
1,1,1,57,0.0,Pass,foot,0.0,0.0,0.0,617173,Away,50,0
2,2,1,1095,0.0,Reception,foot,0.0,0.0,1000.0,997427,Away,-1750,-200
3,3,1,2375,0.0,Pass,foot,0.0,0.0,2300.0,551844,Away,-1750,-200
4,4,1,5374,0.0,Pass,Header,0.0,0.0,5300.0,507914,Home,3250,-1200
5,5,1,6613,0.0,Hold of ball,0,0.0,0.0,6600.0,869616,Home,4550,-600
6,6,1,12345,0.0,Pass,Hands (dropped),0.0,0.0,12300.0,869616,Home,3850,-300
7,7,1,14649,0.0,Pass,foot,0.0,0.0,14600.0,740462,Home,1950,-3120
8,8,1,15643,0.0,Reception,foot,0.0,0.0,15600.0,597710,Home,450,-3027
9,9,1,16202,0.0,Pass,foot,0.0,0.0,16200.0,597710,Home,350,-3120
10,10,1,16322,0.0,Block,foot,0.0,0.0,16300.0,865302,Away,250,-3027
11,11,1,17641,0.0,Reception,foot,0.0,0.0,17600.0,1058906,Away,1050,-3213
12,12,1,18038,0.0,Pass,foot,0.0,0.0,18000.0,1058906,Away,950,-3307
13,13,1,18882,0.0,Pass,foot,0.0,0.0,18800.0,865302,Away,350,-3120
14,14,1,21426,0.0,Pass,foot,0.0,0.0,21400.0,507914,Home,2550,-2934
15,15,1,22478,0.0,Pass,foot,0.0,0.0,22400.0,704169,Home,1350,-2374
16,16,1,23176,0.0,Pass,foot,0.0,0.0,23100.0,922857,Away,1350,-1400
17,17,1,24133,0.0,Reception,foot,0.0,0.0,24100.0,897314,Away,2150,-1800
18,18,1,25141,0.0,Running with ball,foot,0.0,0.0,25100.0,897314,Away,2350,-1500
19,19,1,25660,0.0,Running with ball,foot,0.0,0.0,25600.0,897314,Away,2650,-1500
20,20,1,26199,0.0,Running with ball,foot,0.0,0.0,26100.0,897314,Away,2950,-1300
21,21,1,26924,0.0,Shot not on target,Left foot,5250.0,-700.0,26900.0,897314,Away,3250,-1300
22,22,1,27816,0.0,Out for goal kick,0,0.0,0.0,27800.0,0,Away,5250,-700
23,23,1,52262,0.0,Pass,foot,0.0,0.0,52200.0,869616,Home,4750,-500
24,24,1,55190,1169228.0,Foul - Direct free-kick,0,0.0,0.0,55100.0,997427,Away,-350,2374
25,25,1,59293,0.0,Pass,foot,0.0,0.0,59200.0,1142529,Home,450,1500
26,26,1,60376,0.0,Reception,foot,0.0,0.0,60300.0,747138,Home,1550,1200
27,27,1,61648,0.0,Pass,foot,0.0,0.0,61600.0,747138,Home,1750,600
28,28,1,63849,0.0,Pass,foot,0.0,0.0,63800.0,740462,Home,650,-2654
29,29,1,65966,0.0,Pass,foot,0.0,0.0,65900.0,597710,Home,-1450,-3120
30,30,1,66620,704169.0,Reception,foot,0.0,0.0,66600.0,551844,Away,-1150,-2560
31,31,1,67329,0.0,Pass,foot,0.0,0.0,67300.0,551844,Away,-1050,-2934
32,32,1,68010,0.0,Reception,foot,0.0,0.0,68000.0,740462,Home,-1050,-2747
33,33,1,68773,0.0,Pass,foot,0.0,0.0,68700.0,740462,Home,-650,-2840
34,34,1,69757,997427.0,Pass,foot,0.0,0.0,69700.0,1169228,Home,-2050,-1400
35,35,1,72237,0.0,Reception,foot,0.0,0.0,72200.0,1061291,Away,-150,-100
36,36,1,72585,0.0,Running with ball,foot,0.0,0.0,72500.0,1061291,Away,-350,-100
37,37,1,73403,0.0,Running with ball,foot,0.0,0.0,73400.0,1061291,Away,-350,100
38,38,1,74152,0.0,Pass,foot,0.0,0.0,74100.0,1061291,Away,-750,500
39,39,1,75248,0.0,Reception,foot,0.0,0.0,75200.0,997427,Away,-2150,800
40,40,1,75750,0.0,Pass,foot,0.0,0.0,75700.0,997427,Away,-2150,900
41,41,1,78215,0.0,Reception,foot,0.0,0.0,78200.0,736418,Away,-4550,400
42,42,1,78742,0.0,Running with ball,foot,0.0,0.0,78700.0,736418,Away,-4450,500
43,43,1,79600,0.0,Pass,foot,0.0,0.0,79600.0,736418,Away,-4550,300
44,44,1,81269,0.0,Reception,foot,0.0,0.0,81200.0,997427,Away,-2650,2840
45,45,1,82731,0.0,Running with ball,foot,0.0,0.0,82700.0,997427,Away,-2450,2654
