,Half,Time,Idactor1,Idactor2,EventName,BodyPart,TargetX,TargetY
0,1,0,,,HalfTime Start,,,
1,1,57,617173,,Pass,foot,,
2,1,1095,997427,,Reception,foot,,
3,1,2375,551844,,Pass,foot,,
4,1,5374,507914,,Pass,Header,,
5,1,6613,869616,,Hold of ball,,,
6,1,12345,869616,,Pass,Hands (dropped),,
7,1,14649,740462,,Pass,foot,,
8,1,15643,597710,,Reception,foot,,
9,1,16202,597710,,Pass,foot,,
10,1,16322,865302,,Block,foot,,
11,1,17641,1058906,,Reception,foot,,
12,1,18038,1058906,,Pass,foot,,
13,1,18882,865302,,Pass,foot,,
14,1,21426,507914,,Pass,foot,,
15,1,22478,704169,,Pass,foot,,
16,1,23176,922857,,Pass,foot,,
17,1,24133,897314,,Reception,foot,,
18,1,25141,897314,,Running with ball,foot,,
19,1,25660,897314,,Running with ball,foot,,
20,1,26199,897314,,Running with ball,foot,,
21,1,26924,897314,,Shot not on target,Left foot,5250,-700
22,1,27816,,,Out for goal kick,,,
23,1,52262,869616,,Pass,foot,,
24,1,55190,997427,1169228,Foul - Direct free-kick,,,
25,1,59293,1142529,,Pass,foot,,
26,1,60376,747138,,Reception,foot,,
27,1,61648,747138,,Pass,foot,,
28,1,63849,740462,,Pass,foot,,
29,1,65966,597710,,Pass,foot,,
30,1,66620,551844,704169,Reception,foot,,
31,1,67329,551844,,Pass,foot,,
32,1,68010,740462,,Reception,foot,,
33,1,68773,740462,,Pass,foot,,
34,1,69757,1169228,997427,Pass,foot,,
35,1,72237,1061291,,Reception,foot,,
36,1,72585,1061291,,Running with ball,foot,,
37,1,73403,1061291,,Running with ball,foot,,
38,1,74152,1061291,,Pass,foot,,
39,1,75248,997427,,Reception,foot,,
40,1,75750,997427,,Pass,foot,,
41,1,78215,736418,,Reception,foot,,
42,1,78742,736418,,Running with ball,foot,,
43,1,79600,736418,,Pass,foot,,
44,1,81269,997427,,Reception,foot,,
45,1,82731,997427,,Running with ball,foot,,
46,1,84782,997427,,Running with ball,foot,,
47,1,85648,997427,,Running with ball,foot,,
48,1,88246,997427,,Pass,foot,,
49,1,90353,551844,,Reception,foot,,
50,1,91386,551844,,Pass,foot,,
51,1,93258,865302,,Reception,foot,,
52,1,94568,865302,,Pass,foot,,
53,1,95956,1058906,,Reception,foot,,
54,1,96738,1058906,,Running with ball,foot,,
55,1,98637,1058906,,Pass,foot,,
56,1,100056,865302,,Reception,foot,,
57,1,100639,865302,,Pass,foot,,
58,1,101404,617173,,Pass,foot,,
59,1,102380,865302,,Reception,foot,,
60,1,103655,865302,,Pass,foot,,
61,1,104874,551844,,Reception,foot,,
62,1,106801,551844,,Pass,foot,,
63,1,107939,922857,,Reception,foot,,
64,1,108665,922857,,Running with ball,foot,,
65,1,109898,922857,,Running with ball,foot,,
66,1,111000,922857,,Running with ball,foot,,
67,1,112726,922857,,Running with ball,foot,,
68,1,113229,922857,,Pass,foot,,
69,1,114946,865302,,Reception,foot,,
70,1,116362,865302,,Pass,foot,,
71,1,118417,349538,,Pass,foot,,
72,1,120419,597710,,Reception,Chest,,
73,1,122214,597710,,Pass,foot,,
74,1,123387,740462,,Pass,foot,,
75,1,125814,551844,,Pass,Header,,
76,1,127323,897314,,Reception,foot,,
77,1,128168,897314,,Pass,foot,,
78,1,129477,1058906,,Reception,foot,,
79,1,130565,1058906,,Running with ball,foot,,
80,1,131212,1058906,,Pass,foot,,
81,1,131979,897314,,Reception,foot,,
82,1,133285,897314,,Pass,foot,,
83,1,134335,831314,,Reception,foot,,
84,1,135124,831314,,Running with ball,foot,,
85,1,135628,831314,,Running with ball,foot,,
86,1,136497,831314,,Pass,foot,,
87,1,137749,1188348,,Reception,foot,,
88,1,138731,1061291,1188348,Reception,foot,,
89,1,139927,1061291,,Running with ball,foot,,
90,1,140337,1061291,,Pass,foot,,
91,1,141645,734131,,Reception,foot,,
92,1,142672,734131,,Cross,foot,,
93,1,144512,507914,,Clearance,Header,,
94,1,150338,,,Out for throw-in,,,
95,1,164201,1058906,,Pass,Hands (dropped),,
96,1,164401,,,Out for goal kick,,,
97,1,168461,869616,,Pass,foot,,
98,1,171061,747138,,Pass,foot,,
99,1,173657,349538,,Reception,foot,,
100,1,174097,349538,,Pass,foot,,
101,1,175667,997427,,Clearance,foot,,
102,1,176247,,,Out for throw-in,,,
103,1,185828,349538,,Pass,Hands (dropped),,
104,1,189269,865302,,Clearance,Header,,
105,1,190814,,,Out for throw-in,,,
106,1,214093,349538,,Pass,Hands (dropped),,
107,1,215964,922857,1169228,Clearance uncontrolled,Header,,
108,1,216074,1169228,,Reception,foot,,
109,1,217079,952727,,Reception,foot,,
110,1,218022,507914,,Reception,foot,,
111,1,218540,507914,,Running with ball,foot,,
112,1,219420,507914,,Pass,foot,,
113,1,220055,551844,,Reception,foot,,
114,1,220335,551844,,Running with ball,foot,,
115,1,220471,952727,551844,Pass,foot,,
116,1,222240,349538,617173,Pass,foot,,
117,1,223110,704169,,Reception,foot,,
118,1,223647,704169,,Pass,foot,,
119,1,224590,1142529,,Reception,foot,,
120,1,225223,1142529,,Pass,foot,,
121,1,226774,740462,,Pass,foot,,
122,1,229627,1169228,,Pass,Header,,
123,1,230709,1188348,,Reception,Chest,,
124,1,231592,1188348,,Shot not on target,foot,-5250,260
125,1,231669,922857,,Block,foot,,
126,1,233300,,,Out for corner,,,
127,1,257209,1142529,,Cross,foot,,
128,1,258346,922857,1169228,Clearance uncontrolled,foot,,
129,1,259850,734131,,Clearance,foot,,
130,1,263953,349538,,Pass,foot,,
131,1,265302,,,Out for throw-in,,,
132,1,268863,734131,,Pass,Hands (dropped),,
133,1,270742,897314,,Pass,foot,,
134,1,271329,349538,,Clearance,Header,,
135,1,274288,1061291,,Reception,foot,,
136,1,274559,,,Out for throw-in,,,
137,1,281131,349538,,Pass,Hands (dropped),,
138,1,282622,747138,,Reception,foot,,
139,1,283959,747138,,Running with ball,foot,,
140,1,284546,747138,,Pass,foot,,
141,1,286391,869616,,Reception,foot,,
142,1,287350,869616,,Pass,foot,,
143,1,290151,997427,,Pass,Header,,
144,1,292188,617173,,Pass,foot,,
145,1,294765,349538,,Clearance,foot,,
146,1,295690,,,Out for throw-in,,,
147,1,300040,734131,,Pass,Hands (dropped),,
148,1,301875,997427,,Reception,foot,,
149,1,302998,997427,,Running with ball,foot,,
150,1,304087,997427,,Running with ball,foot,,
151,1,304881,997427,,Pass,foot,,
152,1,305408,349538,,Clearance,Header,,
153,1,308695,734131,,Cross,foot,,
154,1,311679,1058906,,Reception,Chest,,
155,1,313524,507914,,Pass,foot,,
156,1,315729,952727,,Reception,foot,,
157,1,317202,952727,,Pass,foot,,
158,1,317300,865302,,Reception,foot,,
159,1,318755,,,Out for throw-in,,,
160,1,323647,740462,,Pass,Hands (dropped),,
161,1,325528,952727,,Reception,foot,,
162,1,325679,551844,952727,Pass,foot,,
163,1,326060,922857,,Pass,foot,,
164,1,326768,551844,,Reception,foot,,
165,1,327387,551844,,Running with ball,foot,,
166,1,327904,551844,,Pass,foot,,
167,1,329200,1061291,,Reception,foot,,
168,1,330206,1061291,,Running with ball,foot,,
169,1,331455,1061291,,Pass,foot,,
170,1,333433,831314,,Reception,foot,,
171,1,334019,831314,,Running with ball,foot,,
172,1,334599,831314,,Running with ball,foot,,
173,1,335517,831314,,Running with ball,foot,,
174,1,335981,831314,,Running with ball,foot,,
175,1,336747,831314,,Pass,foot,,
176,1,337798,617173,,Reception,foot,,
177,1,338356,617173,,Pass,foot,,
178,1,338955,1061291,,Pass,foot,,
179,1,339655,740462,,Clearance,foot,,
180,1,340389,617173,,Pass,foot,,
181,1,342104,1058906,,Cross,Left foot,,
182,1,342177,740462,,Reception,foot,,
183,1,343011,747138,1061291,Clearance uncontrolled,foot,,
184,1,344821,617173,704169,Pass,foot,,
185,1,350408,1188348,,Reception,foot,,
186,1,351036,1188348,,Running with ball,foot,,
187,1,354808,922857,,Reception,foot,,
188,1,355718,922857,,Running with ball,foot,,
189,1,356335,922857,,Running with ball,foot,,
190,1,357391,922857,,Pass,foot,,
191,1,361160,869616,,Reception,foot,,
192,1,362690,869616,,Running with ball,foot,,
193,1,363529,869616,,Running with ball,foot,,
194,1,365275,869616,,Running with ball,foot,,
195,1,367000,869616,,Running with ball,foot,,
196,1,370846,869616,,Running with ball,foot,,
197,1,372373,869616,,Running with ball,foot,,
198,1,376167,869616,,Hold of ball,,,
199,1,379494,869616,,Drop kick,foot,,
200,1,382330,1169228,551844,Pass,Header,,
201,1,385261,865302,,Reception,Chest,,
202,1,386220,865302,,Pass,foot,,
203,1,388664,1058906,,Reception,foot,,
204,1,389353,1058906,,Running with ball,foot,,
205,1,390248,1058906,,Running with ball,foot,,
206,1,391052,1058906,,Running with ball,foot,,
207,1,392072,1058906,,Running with ball,foot,,
208,1,392898,1058906,,Running with ball,foot,,
209,1,393442,1058906,,Running with ball,foot,,
210,1,394289,1058906,,Pass,foot,,
211,1,396225,865302,,Reception,foot,,
212,1,397865,865302,,Running with ball,foot,,
213,1,398653,865302,,Pass,foot,,
214,1,400128,551844,,Reception,foot,,
215,1,401539,551844,,Pass,foot,,
216,1,402643,922857,,Reception,foot,,
217,1,404200,922857,,Pass,foot,,
218,1,406573,507914,897314,Pass,Header,,
219,1,408108,1188348,,Reception,Chest,,
220,1,408512,1188348,,Pass,foot,,
221,1,409795,1169228,,Pass,foot,,
222,1,411155,1142529,617173,Pass,foot,,
223,1,411300,617173,,Block,foot,,
224,1,411380,1142529,,Reception,foot,,
225,1,412889,704169,,Pass,foot,,
226,1,413719,922857,,Pass,foot,,
227,1,417206,597710,,Reception,foot,,
228,1,419327,597710,1058906,Running with ball,foot,,
229,1,419437,1058906,597710,Running with ball,foot,,
230,1,420929,597710,,Pass,foot,,
231,1,421835,,,Out for throw-in,,,
232,1,428916,1058906,,Pass,Hands (dropped),,
233,1,430479,865302,,Reception,foot,,
234,1,430968,865302,,Running with ball,foot,,
235,1,432627,865302,,Pass,foot,,
236,1,433725,551844,,Reception,foot,,
237,1,435166,551844,,Pass,foot,,
238,1,436630,617173,,Reception,foot,,
239,1,437224,617173,,Running with ball,foot,,
240,1,438074,617173,,Pass,foot,,
241,1,440854,349538,,Clearance,foot,,
242,1,444299,1188348,,Pass,foot,,
243,1,445561,1142529,,Reception,foot,,
244,1,446420,1142529,,Pass,foot,,
245,1,447731,349538,,Reception,foot,,
246,1,448741,349538,,Pass,foot,,
247,1,448873,734131,,Block,foot,,
248,1,450048,,,Out for throw-in,,,
249,1,460157,349538,,Pass,Hands (dropped),,
250,1,461611,551844,1169228,Pass,Header,,
251,1,463491,1061291,747138,Running with ball,foot,,
252,1,463801,747138,1061291,Running with ball,foot,,
253,1,466247,747138,,Running with ball,foot,,
254,1,467094,747138,,Pass,foot,,
255,1,468669,617173,,Pass,Header,,
256,1,471299,897314,,Reception,foot,,
257,1,472339,897314,,Shot on target,Left foot,5250,80
258,1,473049,869616,,Catch save,,,
259,1,473149,869616,,Hold of ball,,,
260,1,474848,869616,,Pass,Hands (dropped),,
261,1,477230,740462,,Pass,foot,,
262,1,479349,865302,,Pass,foot,,
263,1,481972,1058906,,Reception,foot,,
264,1,482499,1058906,,Running with ball,foot,,
265,1,483098,1058906,,Running with ball,foot,,
266,1,484193,1058906,,Running with ball,foot,,
267,1,485061,1058906,,Running with ball,foot,,
268,1,485802,1058906,,Running with ball,foot,,
269,1,486643,740462,1058906,Foul - Direct free-kick,,,
270,1,497066,865302,,Pass,foot,,
271,1,499004,551844,,Reception,foot,,
